email_id,campaign_date,first_name,last_name,email,became_lead,lead_id
EM_20230101_000000,2023-01-01,Kyle,Gonzalez,kylegonzalez@gmail.com,False,
EM_20230101_000001,2023-01-01,Rachel,Pillai,rachel_pillai12@gmail.com,False,
EM_20230101_000002,2023-01-01,Amelia,Das,amelia666@yahoo.com,False,
EM_20230101_000003,2023-01-01,Nora,Zhu,norazhu1@gmail.com,False,
EM_20230101_000004,2023-01-01,Raj,Rivas,raj_rivas@gmail.com,False,
EM_20230101_000005,2023-01-01,Jack,Figueroa,jfigueroa@gmail.com,False,
EM_20230101_000006,2023-01-01,Brian,Costa,bcosta@yahoo.com,False,
EM_20230101_000007,2023-01-01,Jun,Malhotra,jun.malhotra6@hotmail.com,False,
EM_20230101_000008,2023-01-01,Victor,Green,victor285@aol.com,False,
EM_20230101_000009,2023-01-01,Xiu,Wood,xiu_wood@gmail.com,False,
EM_20230101_000010,2023-01-01,Danielle,Oh,doh@gmail.com,False,
EM_20230101_000011,2023-01-01,Gavin,Schroeder,gavin_schroeder@outlook.com,False,
EM_20230101_000012,2023-01-01,Ebony,Brooks,ebrooks@gmail.com,False,
EM_20230101_000013,2023-01-01,Layla,Habib,layla_habib83@gmail.com,False,
EM_20230101_000014,2023-01-01,Monica,Bailey,monica270@hotmail.com,False,
EM_20230101_000015,2023-01-01,Akira,Mejia,akira522@icloud.com,False,
EM_20230101_000016,2023-01-01,Janet,Lynch,janet.lynch20@aol.com,False,
EM_20230101_000017,2023-01-01,Raj,Chatterjee,rchatterjee@gmail.com,False,
EM_20230101_000018,2023-01-01,Barbara,Klein,bklein@gmail.com,False,
EM_20230101_000019,2023-01-01,Rasheed,Edwards,redwards@gmail.com,False,
EM_20230101_000020,2023-01-01,Lucas,Flynn,lflynn@yahoo.com,False,
EM_20230101_000021,2023-01-01,Harper,Bose,harper.bose@gmail.com,False,
EM_20230101_000022,2023-01-01,Tanisha,Yamada,tyamada@gmail.com,False,
EM_20230101_000023,2023-01-01,Carmen,Robinson,carmen88@aol.com,False,
EM_20230101_000024,2023-01-01,Stephen,Gallagher,stephen676@outlook.com,False,
EM_20230101_000025,2023-01-01,Denise,Armstrong,denisearmstrong55@aol.com,False,
EM_20230101_000026,2023-01-01,Aubrey,Colombo,acolombo@gmail.com,False,
EM_20230101_000027,2023-01-01,Ravi,Park,rpark@gmail.com,False,
EM_20230101_000028,2023-01-01,Lisa,Krishnan,lisakrishnan@gmail.com,False,
EM_20230101_000029,2023-01-01,Jacob,Stone,jacob.stone43@aol.com,False,
EM_20230101_000030,2023-01-01,Norma,Wagner,norma741@gmail.com,False,
EM_20230101_000031,2023-01-01,Angel,Watanabe,angel675@gmail.com,False,
EM_20230101_000032,2023-01-01,Demetrius,Mosley,demetrius_mosley@yahoo.com,False,
EM_20230101_000033,2023-01-01,Gary,Dixon,garydixon14@gmail.com,False,
EM_20230101_000034,2023-01-01,Caleb,Seo,caleb286@gmail.com,False,
EM_20230101_000035,2023-01-01,Elena,Hill,elena_hill@outlook.com,False,
EM_20230101_000036,2023-01-01,Jessica,Mitchell,jessica.mitchell63@gmail.com,False,
EM_20230101_000037,2023-01-01,Satoshi,Walker,satoshi272@gmail.com,False,
EM_20230101_000038,2023-01-01,Cesar,Mosley,cesar678@icloud.com,False,
EM_20230101_000039,2023-01-01,Gabriel,Ross,gabriel_ross@gmail.com,False,
EM_20230101_000040,2023-01-01,Latoya,Robinson,latoya.robinson65@yahoo.com,False,
EM_20230101_000041,2023-01-01,Ryan,Mori,ryan.mori@aol.com,False,
EM_20230101_000042,2023-01-01,Jose,Dixon,jose.dixon@icloud.com,False,
EM_20230101_000043,2023-01-01,Katherine,Lawson,klawson@yahoo.com,False,
EM_20230101_000044,2023-01-01,Charlotte,Wagner,charlottewagner34@gmail.com,False,
EM_20230101_000045,2023-01-01,Lorena,Gao,lorena10@aol.com,False,
EM_20230101_000046,2023-01-01,Adam,Nguyen,anguyen@gmail.com,False,
EM_20230101_000047,2023-01-01,Stephen,Shaw,sshaw@gmail.com,False,
EM_20230101_000048,2023-01-01,David,Meyer,davidmeyer85@gmail.com,False,
EM_20230101_000049,2023-01-01,Javier,Reyes,jreyes@hotmail.com,False,
EM_20230101_000050,2023-01-01,Addison,Marino,amarino@gmail.com,False,
EM_20230101_000051,2023-01-01,Amelia,Yamada,amelia95@aol.com,False,
EM_20230101_000052,2023-01-01,Yolanda,Thompson,ythompson@gmail.com,False,
EM_20230101_000053,2023-01-01,Theresa,Barbieri,theresa_barbieri@yahoo.com,False,
EM_20230101_000054,2023-01-01,Kyle,Hill,khill@aol.com,False,
EM_20230101_000055,2023-01-01,Jean,Singleton,jean.singleton@gmail.com,False,
EM_20230101_000056,2023-01-01,Donovan,Webb,donovan363@gmail.com,False,
EM_20230101_000057,2023-01-01,Gabriel,Warren,gabriel903@icloud.com,False,
EM_20230101_000058,2023-01-01,Betty,Alvarez,bettyalvarez53@aol.com,False,
EM_20230101_000059,2023-01-01,Laura,Brooks,laura880@gmail.com,False,
EM_20230101_000060,2023-01-01,Stella,Perry,stella_perry@gmail.com,False,
EM_20230101_000061,2023-01-01,Mackenzie,Booker,mbooker@gmail.com,False,
EM_20230101_000062,2023-01-01,Essence,Salem,essencesalem@gmail.com,False,
EM_20230101_000063,2023-01-01,Ethan,Lane,ethan.lane@yahoo.com,False,
EM_20230101_000064,2023-01-01,Suresh,Carrillo,sureshcarrillo@outlook.com,False,
EM_20230101_000065,2023-01-01,Takeshi,Malhotra,takeshi.malhotra@gmail.com,False,
EM_20230101_000066,2023-01-01,Jack,Shin,jackshin95@hotmail.com,False,
EM_20230101_000067,2023-01-01,Chen,Singleton,csingleton@icloud.com,False,
EM_20230101_000068,2023-01-01,Cheryl,Greco,cgreco@yahoo.com,False,
EM_20230101_000069,2023-01-01,Daiki,Hofmann,daiki431@yahoo.com,False,
EM_20230101_000070,2023-01-01,Johnny,Ibrahim,johnnyibrahim@gmail.com,False,
EM_20230101_000071,2023-01-01,Luz,Arnold,larnold@gmail.com,False,
EM_20230101_000072,2023-01-01,Varun,Xu,varun_xu66@hotmail.com,False,
EM_20230101_000073,2023-01-01,Gregory,Harvey,gregoryharvey@hotmail.com,False,
EM_20230101_000074,2023-01-01,Jose,Schulz,jose_schulz@gmail.com,False,
EM_20230101_000075,2023-01-01,Melissa,Shaw,melissa75@yahoo.com,False,
EM_20230101_000076,2023-01-01,Hyun,Haddad,hyun394@gmail.com,False,
EM_20230101_000077,2023-01-01,Naomi,Black,naomi.black@hotmail.com,False,
